LN;TIME_EVENT;COUNTRY
23;14/10/2019 15:00;FR
24;14/10/2019 14:00;FR
228;18/08/2019 20:00;FR
229;18/08/2019 19:00;FR
230;18/08/2019 19:00;FR
231;18/08/2019 18:00;FR
232;18/08/2019 18:00;FR
233;18/08/2019 18:00;FR
234;18/08/2019 18:00;FR
235;18/08/2019 18:00;FR
236;18/08/2019 18:00;FR
237;18/08/2019 18:00;FR
238;18/08/2019 18:00;FR
239;18/08/2019 18:00;FR
240;18/08/2019 18:00;FR
241;18/08/2019 18:00;FR
242;18/08/2019 18:00;FR
243;18/08/2019 18:00;FR
244;18/08/2019 18:00;FR
246;18/08/2019 15:50;FR
247;18/08/2019 15:00;FR
248;18/08/2019 14:00;FR
249;18/08/2019 14:00;FR
356;11/08/2019 15:45;FR
357;11/08/2019 15:45;FR
367;09/08/2019 21:00;FR
368;09/08/2019 16:30;FR
369;09/08/2019 15:30;FR
370;09/08/2019 15:00;FR
371;09/08/2019 13:30;FR
605;25/07/2019 15:10;FR
606;25/07/2019 14:55;FR
608;25/07/2019 13:45;FR
609;25/07/2019 13:40;FR
610;25/07/2019 13:25;FR
611;25/07/2019 13:25;FR
851;08/07/2019 14:00;FR
852;08/07/2019 13:45;FR
901;07/07/2019 13:45;FR
902;07/07/2019 13:45;FR
908;07/07/2019 13:00;FR
913;07/07/2019 12:50;FR
937;06/07/2019 19:00;FR
938;06/07/2019 19:00;FR
939;06/07/2019 19:00;FR
941;06/07/2019 18:30;FR
942;06/07/2019 18:30;FR
943;06/07/2019 18:30;FR
944;06/07/2019 18:30;FR
945;06/07/2019 18:30;FR
948;06/07/2019 18:00;FR
949;06/07/2019 18:00;FR
963;06/07/2019 12:45;FR
965;06/07/2019 08:30;FR
1031;02/07/2019 19:00;FR
1035;02/07/2019 16:30;FR
1040;02/07/2019 15:30;FR
1062;01/07/2019 17:30;FR
1069;01/07/2019 17:00;FR
1070;01/07/2019 17:00;FR
1113;01/07/2019 15:30;FR
1121;01/07/2019 15:15;FR
1130;01/07/2019 15:05;FR
1136;01/07/2019 14:50;FR
1137;01/07/2019 14:50;FR
1151;01/07/2019 14:30;FR
1226;01/07/2019 11:55;FR
1230;01/07/2019 11:50;FR
1231;01/07/2019 11:45;FR
1263;30/06/2019 21:00;FR
1264;30/06/2019 19:30;FR
1266;30/06/2019 14:45;FR
1449;19/06/2019 21:15;FR
1494;19/06/2019 00:00;FR
1495;18/06/2019 19:00;FR
1496;18/06/2019 19:00;FR
1497;18/06/2019 18:30;FR
1710;15/06/2019 13:30;FR
1711;15/06/2019 13:00;FR
1713;15/06/2019 12:40;FR
1714;15/06/2019 12:35;FR
1715;15/06/2019 12:35;FR
1716;15/06/2019 12:15;FR
1717;15/06/2019 11:10;FR
1718;15/06/2019 11:05;FR
2287;05/06/2019 16:00;FR
2354;04/06/2019 17:25;FR
2355;04/06/2019 17:00;FR
2359;04/06/2019 16:20;FR
2965;08/05/2019 15:30;FR
2969;08/05/2019 13:00;FR
3107;26/04/2019 12:00;FR
3108;26/04/2019 11:00;FR
3121;25/04/2019 14:15;FR
3122;25/04/2019 13:00;FR
3123;25/04/2019 12:00;FR
3124;25/04/2019 12:00;FR
3125;25/04/2019 12:00;FR
3126;25/04/2019 12:00;FR
3127;25/04/2019 12:00;FR
3128;25/04/2019 12:00;FR
3129;25/04/2019 12:00;FR
3130;25/04/2019 12:00;FR
3131;25/04/2019 12:00;FR
3132;25/04/2019 12:00;FR
3133;25/04/2019 11:00;FR
3246;06/04/2019 23:00;FR
3247;06/04/2019 22:00;FR
3248;06/04/2019 22:00;FR
3249;06/04/2019 20:30;FR
3250;06/04/2019 20:30;FR
3251;06/04/2019 20:30;FR
3252;06/04/2019 20:30;FR
3253;06/04/2019 19:45;FR
3254;06/04/2019 14:00;FR
3255;03/04/2019 14:30;FR
3271;02/02/2019 17:30;FR
3294;19/12/2018 19:00;FR
3295;19/12/2018 18:00;FR
3311;31/10/2018 19:00;FR
3355;01/10/2018 15:30;FR
3356;01/10/2018 15:00;FR
3402;05/09/2018 17:00;FR
3403;05/09/2018 16:00;FR
3440;28/08/2018 17:00;FR
3444;28/08/2018 16:00;FR
3446;28/08/2018 15:40;FR
3509;13/08/2018 17:00;FR
3513;12/08/2018 17:00;FR
3514;12/08/2018 16:10;FR
3525;09/08/2018 16:10;FR
3529;09/08/2018 10:42;FR
3538;07/08/2018 20:00;FR
3539;07/08/2018 16:30;FR
3570;04/08/2018 14:15;FR
3585;01/08/2018 16:30;FR
3586;01/08/2018 16:00;FR
3606;27/07/2018 18:00;FR
3607;27/07/2018 17:00;FR
3608;27/07/2018 17:00;FR
3610;27/07/2018 14:45;FR
3723;20/07/2018 15:00;FR
3724;20/07/2018 15:00;FR
3727;20/07/2018 01:50;FR
3728;20/07/2018 01:45;FR
3729;20/07/2018 01:40;FR
3757;15/07/2018 15:35;FR
3759;15/07/2018 15:25;FR
3760;15/07/2018 15:20;FR
3761;15/07/2018 15:20;FR
3762;15/07/2018 15:15;FR
3763;15/07/2018 15:15;FR
3764;15/07/2018 15:15;FR
3765;15/07/2018 15:10;FR
3766;15/07/2018 15:10;FR
3767;15/07/2018 15:10;FR
3768;15/07/2018 15:00;FR
3769;15/07/2018 14:50;FR
3770;15/07/2018 14:50;FR
3771;15/07/2018 14:45;FR
3772;15/07/2018 14:45;FR
3773;15/07/2018 14:35;FR
3774;15/07/2018 14:25;FR
3884;04/07/2018 17:45;FR
3885;04/07/2018 17:15;FR
3886;04/07/2018 17:15;FR
3887;04/07/2018 16:30;FR
3888;04/07/2018 16:30;FR
3889;04/07/2018 16:30;FR
3891;04/07/2018 16:00;FR
3892;04/07/2018 16:00;FR
3893;04/07/2018 16:00;FR
3894;04/07/2018 16:00;FR
3896;04/07/2018 15:45;FR
3897;04/07/2018 15:45;FR
3898;04/07/2018 15:30;FR
3899;04/07/2018 15:30;FR
3900;04/07/2018 15:30;FR
3901;04/07/2018 15:30;FR
3902;04/07/2018 15:30;FR
3903;04/07/2018 15:30;FR
3904;04/07/2018 15:30;FR
3905;04/07/2018 15:30;FR
3906;04/07/2018 15:30;FR
3907;04/07/2018 15:15;FR
3908;04/07/2018 15:15;FR
3909;04/07/2018 15:00;FR
3910;04/07/2018 15:00;FR
3911;04/07/2018 15:00;FR
3912;04/07/2018 15:00;FR
3913;04/07/2018 15:00;FR
3914;04/07/2018 14:50;FR
3917;04/07/2018 14:45;FR
3918;04/07/2018 14:45;FR
3919;04/07/2018 14:45;FR
3921;04/07/2018 14:30;FR
3923;04/07/2018 14:10;FR
3924;04/07/2018 14:00;FR
3925;04/07/2018 13:55;FR
3926;04/07/2018 13:45;FR
3927;04/07/2018 13:45;FR
3928;04/07/2018 13:45;FR
3929;04/07/2018 13:30;FR
3930;04/07/2018 13:30;FR
3932;04/07/2018 12:50;FR
3933;04/07/2018 12:45;FR
3934;04/07/2018 12:45;FR
3935;04/07/2018 12:45;FR
3936;04/07/2018 12:45;FR
3937;04/07/2018 12:38;FR
3938;04/07/2018 12:37;FR
3939;04/07/2018 12:36;FR
3940;04/07/2018 12:35;FR
3941;04/07/2018 12:30;FR
3942;04/07/2018 12:25;FR
3943;04/07/2018 12:20;FR
3944;04/07/2018 12:15;FR
3945;04/07/2018 12:00;FR
3946;04/07/2018 11:45;FR
3949;04/07/2018 11:05;FR
3950;04/07/2018 10:45;FR
3951;03/07/2018 19:30;FR
3952;03/07/2018 19:00;FR
3956;03/07/2018 18:03;FR
3957;03/07/2018 18:00;FR
3958;03/07/2018 18:00;FR
3959;03/07/2018 18:00;FR
3960;03/07/2018 17:58;FR
3961;03/07/2018 17:56;FR
3962;03/07/2018 17:49;FR
3963;03/07/2018 17:48;FR
3964;03/07/2018 17:48;FR
3965;03/07/2018 17:45;FR
3966;03/07/2018 17:41;FR
3967;03/07/2018 17:40;FR
3968;03/07/2018 17:39;FR
3969;03/07/2018 17:32;FR
3970;03/07/2018 17:30;FR
3972;03/07/2018 17:25;FR
3975;03/07/2018 17:16;FR
3976;03/07/2018 17:15;FR
3977;03/07/2018 17:12;FR
3978;03/07/2018 17:10;FR
3979;03/07/2018 17:05;FR
3980;03/07/2018 17:05;FR
3981;03/07/2018 17:00;FR
3982;03/07/2018 17:00;FR
3983;03/07/2018 16:45;FR
3984;03/07/2018 16:45;FR
3985;03/07/2018 16:30;FR
3986;03/07/2018 16:30;FR
3987;03/07/2018 16:15;FR
3988;03/07/2018 16:10;FR
3989;03/07/2018 16:00;FR
3990;03/07/2018 15:05;FR
3991;03/07/2018 14:05;FR
3992;03/07/2018 14:00;FR
3993;03/07/2018 13:55;FR
3994;03/07/2018 13:55;FR
3995;03/07/2018 13:45;FR
3996;03/07/2018 12:45;FR
3997;03/07/2018 12:13;FR
4001;02/07/2018 19:15;FR
4002;02/07/2018 19:00;FR
4003;02/07/2018 19:00;FR
4004;02/07/2018 19:00;FR
4005;02/07/2018 19:00;FR
4006;02/07/2018 19:00;FR
4017;02/07/2018 01:00;FR
4021;01/07/2018 17:15;FR
4022;01/07/2018 17:00;FR
4151;24/06/2018 17:00;FR
4152;24/06/2018 17:00;FR
4153;24/06/2018 17:00;FR
4154;24/06/2018 16:35;FR
4155;24/06/2018 16:30;FR
4401;10/06/2018 02:00;FR
4402;10/06/2018 02:00;FR
4403;10/06/2018 02:00;FR
4404;09/06/2018 23:00;FR
4412;09/06/2018 12:00;FR
4415;09/06/2018 10:30;FR
4495;03/06/2018 17:00;FR
4583;30/05/2018 13:30;FR
4584;30/05/2018 13:30;FR
4620;28/05/2018 18:00;FR
4626;28/05/2018 13:00;FR
4650;27/05/2018 15:51;FR
4704;26/05/2018 13:45;FR
4710;26/05/2018 13:00;FR
4711;26/05/2018 13:00;FR
4712;26/05/2018 13:00;FR
4713;26/05/2018 13:00;FR
4714;26/05/2018 13:00;FR
4715;26/05/2018 13:00;FR
4717;26/05/2018 12:30;FR
4718;26/05/2018 12:00;FR
4720;26/05/2018 11:00;FR
4721;26/05/2018 11:00;FR
4729;25/05/2018 15:30;FR
4773;23/05/2018 15:30;FR
4774;23/05/2018 14:40;FR
4776;23/05/2018 11:30;FR
4807;22/05/2018 14:00;FR
4877;19/05/2018 14:00;FR
4993;14/05/2018 14:00;FR
5032;12/05/2018 20:00;FR
5131;09/05/2018 21:35;FR
5194;07/05/2018 14:30;FR
5195;07/05/2018 14:00;FR
5196;07/05/2018 13:00;FR
5216;06/05/2018 16:00;FR
5428;30/04/2018 15:30;FR
5451;29/04/2018 20:00;FR
5453;29/04/2018 19:30;FR
5454;29/04/2018 19:15;FR
5456;29/04/2018 19:10;FR
5457;29/04/2018 19:10;FR
5458;29/04/2018 19:00;FR
5459;29/04/2018 19:00;FR
5460;29/04/2018 18:30;FR
5461;29/04/2018 17:00;FR
5466;29/04/2018 16:00;FR
5467;29/04/2018 16:00;FR
5468;29/04/2018 16:00;FR
5469;29/04/2018 16:00;FR
5470;29/04/2018 16:00;FR
5471;29/04/2018 16:00;FR
5472;29/04/2018 16:00;FR
5473;29/04/2018 16:00;FR
5474;29/04/2018 16:00;FR
5475;29/04/2018 16:00;FR
5523;21/04/2018 23:30;FR
5530;12/04/2018 15:30;FR
5531;12/04/2018 15:30;FR
5555;04/04/2018 17:00;FR
5558;03/04/2018 21:00;FR
5559;03/04/2018 20:30;FR
5560;03/04/2018 20:30;FR
5561;03/04/2018 20:30;FR
5562;03/04/2018 20:30;FR
5563;03/04/2018 20:30;FR
5564;03/04/2018 20:00;FR
5565;03/04/2018 20:00;FR
5567;30/03/2018 18:00;FR
5590;19/03/2018 20:00;FR
5591;16/03/2018 21:30;FR
5592;16/03/2018 21:30;FR
5607;11/03/2018 19:00;FR
5612;06/03/2018 16:00;FR
5614;02/03/2018 06:15;FR
5620;11/02/2018 17:35;FR
5625;06/02/2018 02:00;FR
5626;01/02/2018 16:50;FR
5646;08/01/2018 16:55;FR
5647;08/01/2018 16:55;FR
5648;07/01/2018 09:00;FR
5649;07/01/2018 04:00;FR
5650;01/01/2018 11:00;FR
5651;01/01/2018 06:30;FR
5678;04/11/2017 16:00;FR
5724;01/09/2017 13:00;FR
5725;01/09/2017 11:30;FR
5756;27/08/2017 14:30;FR
5758;27/08/2017 14:00;FR
5759;27/08/2017 14:00;FR
5760;27/08/2017 14:00;FR
5761;27/08/2017 14:00;FR
5762;27/08/2017 13:15;FR
5765;27/08/2017 10:30;FR
5766;27/08/2017 10:00;FR
5767;27/08/2017 10:00;FR
5768;27/08/2017 09:00;FR
5775;25/08/2017 09:00;FR
5776;23/08/2017 06:15;FR
6003;08/08/2017 16:30;FR
6156;31/07/2017 21:20;FR
6157;31/07/2017 21:20;FR
6158;31/07/2017 21:20;FR
6162;31/07/2017 20:05;FR
6163;31/07/2017 18:20;FR
6164;31/07/2017 18:20;FR
6165;31/07/2017 18:15;FR
6176;30/07/2017 19:45;FR
6177;30/07/2017 19:30;FR
6182;30/07/2017 18:30;FR
6184;30/07/2017 18:10;FR
6186;30/07/2017 18:00;FR
6193;30/07/2017 17:30;FR
6194;30/07/2017 17:15;FR
6195;30/07/2017 17:00;FR
6196;30/07/2017 17:00;FR
6199;30/07/2017 16:45;FR
6210;30/07/2017 14:00;FR
6391;22/07/2017 17:25;FR
6392;22/07/2017 17:25;FR
6393;22/07/2017 17:20;FR
6395;22/07/2017 15:00;FR
6397;22/07/2017 12:45;FR
6398;22/07/2017 12:15;FR
6399;22/07/2017 12:15;FR
6448;19/07/2017 19:15;FR
6449;19/07/2017 19:10;FR
6452;19/07/2017 18:35;FR
6453;19/07/2017 18:30;FR
6454;19/07/2017 18:25;FR
6455;19/07/2017 18:15;FR
6456;19/07/2017 18:10;FR
6458;19/07/2017 18:00;FR
6459;19/07/2017 17:30;FR
6460;19/07/2017 17:20;FR
6478;18/07/2017 20:15;FR
6493;17/07/2017 15:00;FR
6577;10/07/2017 15:15;FR
6578;10/07/2017 15:15;FR
6580;10/07/2017 15:10;FR
6581;10/07/2017 15:10;FR
6590;10/07/2017 14:15;FR
6608;09/07/2017 15:25;FR
6609;09/07/2017 15:25;FR
6610;09/07/2017 15:15;FR
6612;09/07/2017 15:10;FR
6614;09/07/2017 15:00;FR
6625;08/07/2017 17:45;FR
6736;06/07/2017 17:30;FR
6737;06/07/2017 17:00;FR
6738;06/07/2017 16:32;FR
6739;06/07/2017 16:28;FR
6740;06/07/2017 16:25;FR
6741;06/07/2017 16:22;FR
6743;06/07/2017 16:19;FR
6744;06/07/2017 16:15;FR
6745;06/07/2017 16:10;FR
6746;06/07/2017 16:10;FR
6749;06/07/2017 15:40;FR
6751;06/07/2017 15:22;FR
6752;06/07/2017 15:21;FR
6753;06/07/2017 15:20;FR
6755;06/07/2017 15:15;FR
6756;06/07/2017 15:05;FR
6995;27/06/2017 16:45;FR
7068;23/06/2017 16:45;FR
7119;22/06/2017 17:21;FR
7126;22/06/2017 16:30;FR
7127;22/06/2017 16:10;FR
7129;22/06/2017 15:45;FR
7130;22/06/2017 15:40;FR
7232;20/06/2017 18:20;FR
7236;20/06/2017 16:20;FR
7361;15/06/2017 16:15;FR
7363;15/06/2017 15:30;FR
7364;15/06/2017 15:30;FR
7365;15/06/2017 15:30;FR
7388;13/06/2017 18:20;FR
7389;13/06/2017 16:40;FR
7390;13/06/2017 16:05;FR
7391;13/06/2017 16:00;FR
7392;13/06/2017 15:45;FR
7393;13/06/2017 15:15;FR
7711;29/05/2017 17:00;FR
7712;29/05/2017 17:00;FR
7731;27/05/2017 17:10;FR
7917;12/05/2017 17:00;FR
7919;12/05/2017 15:00;FR
7920;12/05/2017 15:00;FR
7923;12/05/2017 13:00;FR
7932;11/05/2017 15:00;FR
7933;11/05/2017 15:00;FR
7958;10/05/2017 16:00;FR
7969;10/05/2017 14:55;FR
8122;02/05/2017 14:00;FR
8215;31/03/2017 16:00;FR
8216;31/03/2017 14:30;FR
8217;23/03/2017 18:30;FR
8218;23/03/2017 14:00;FR
8219;23/03/2017 13:00;FR
8220;23/03/2017 12:00;FR
8221;23/03/2017 11:30;FR
8222;23/03/2017 11:00;FR
8242;05/02/2017 12:00;FR
8243;04/02/2017 12:00;FR
8244;03/02/2017 10:30;FR
